ResponseId,PROLIFIC_PID,State,UpperMidwest,D_parkfreq,D_posterbuyer,D_parkfreq_posterbuyer,D_parkfreq_posterbuyer_uppermidwest,Q1_park_usage,Q1_n_park_usage,Q2_park_activities_1,Q2_n_park_activities_1,Q2_park_activities_2,Q2_n_park_activities_2,Q2_park_activities_3,Q2_n_park_activities_3,Q2_park_activities_4,Q2_n_park_activities_4,Q2_park_activities_5,Q2_n_park_activities_5,Q2_park_activities_6,Q2_n_park_activities_6,Q2_park_activities_7,Q2_n_park_activities_7,Q2_park_activities_8,Q2_n_park_activities_8,Q2_park_activities_9,Q2_n_park_activities_9,Q3_buy_local_apparel,Q3_n_buy_local_apparel,Q4_buy_local_brands,Q4_n_buy_local_brands,Q5_buy_posters,Q5_n_buy_posters,Q6_drink_alcohol,Q6_n_drink_alcohol,Q7_drink_coffee_tea,Q7_n_drink_coffee_tea,Q8_brand_loyalty,Q8_n_brand_loyalty
R_1eJEBHILl9XQ7Em,60ebcdf8d320d7bec973d0f3,MO,0,0 ,0 ,0 ,0 ,Several times per month,4,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Several times per month,4,Never,1,About once per month,3,About once per month,3,Somewhat loyal,2
R_2X4hgtHrFoWLCr4,607ce9df61f8f44b9403edfc,KS,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per month,3,Never,1,Never,1,Several times per month,4,Depends upon the product/service,4
R_3HM2GPRMk26QRJC,616f10014c04363731d398c0,IL,0,0 ,0 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,About once per week,5,More than once per week,6,Depends upon the product/service,4
R_4IxQpiKb7dvhu81,5a6570bd31b87a0001c700dd,OH,0,0 ,0 ,0 ,0 ,Several times per month,4,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,Never,1,Once in a few months or longer,2,Never,1,Once in a few months or longer,2,More than once per week,6,Highly loyal,1
R_2Egc7eDVeYHMSx4,60fe01fbab0316f090acb6b9,IL,0,1 ,1 ,1 ,0 ,About once per week,5,Not selected,0,Not selected,0,Not selected,0,Playing team sports,1,Spending time with family/pets,1,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,About once per month,3,Several times per month,4,2-3 per year,3,Several times per month,4,Several times per month,4,Somewhat loyal,2
R_3iDPW6Wh0nfYmu4,60fcf15d6f86ffc5de817be3,KS,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,About once per month,3,Once in a few months or longer,2,Never,1,Never,1,Never,1,Not loyal,3
R_1kLC9qscgx3NQF2,60b9bb59251f1f055eddce4b,TX,0,1 ,1 ,1 ,0 ,More than once per week,6,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,About once per month,3,3-5 per year,4,About once per month,3,More than once per week,6,Somewhat loyal,2
R_bjPK2tatcRAdaiR,5c4ea6cc889752000156dd8e,MO,0,0 ,1 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per month,3,2-3 per year,3,Several times per month,4,More than once per week,6,Depends upon the product/service,4
R_2V3jzut4NinvpLy,5bbc0004ac45e6000131d380,MI,1,1 ,0 ,0 ,0 ,More than once per week,6,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,About once per month,3,Never,1,About once per week,5,More than once per week,6,Somewhat loyal,2
R_3j37GBF0KGhncyH,60ff9a9aad04eb7ef6cae70a,CA,0,1 ,0 ,0 ,0 ,More than once per week,6,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,1,Not selected,0,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,More than once per week,6,Never,1,About once per week,5,More than once per week,6,Depends upon the product/service,4
R_3qVv1TwFCI51CHq,617612aa86abe09e0c69b7f2,IN,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Playing team sports,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Once in a few months or longer,2,Never,1,About once per week,5,More than once per week,6,Not loyal,3
R_popt0dWm0e4l529,60ff0a5380bb3896b3a0484a,IL,0,0 ,0 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Once in a few months or longer,2,About once per month,3,Never,1,More than once per week,6,More than once per week,6,Somewhat loyal,2
R_3wSWwVQycYCec3n,5cf5ea4dea7a80000156520e,MN,1,1 ,1 ,1 ,1 ,More than once per week,6,Running/walking,1,Not selected,0,Not selected,0,Playing team sports,1,Spending time with family/pets,1,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Not selected,0,Not selected,0,About once per month,3,About once per month,3,1 per year,2,About once per week,5,More than once per week,6,Somewhat loyal,2
R_2uVPTxZz8Quxpcb,614f24578db9aab4bfb2809f,SD,1,1 ,0 ,0 ,0 ,About once per week,5,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Never,1,Never,1,Once in a few months or longer,2,Once in a few months or longer,2,Not loyal,3
R_1H1ZDG9bZiUqs5n,61033627c32742424aeaaac1,CA,0,0 ,1 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,2-3 per year,3,More than once per week,6,Never,1,Not loyal,3
R_8076N5SA6FJW4Nz,602b3e365bdba426935d62b3,MO,0,0 ,0 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Never,1,Once in a few months or longer,2,Depends upon the product/service,4
R_1rqSSp1GSpUr80M,614f763c033e48b3649609ed,WI,1,0 ,0 ,0 ,0 ,About once per month,3,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Once in a few months or longer,2,Never,1,Never,1,More than once per week,6,Depends upon the product/service,4
R_vPr8wRPAhRLihln,5f16fa8069dc2901cd1e0b05,IL,0,1 ,0 ,0 ,0 ,More than once per week,6,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Several times per month,4,Never,1,About once per month,3,More than once per week,6,Somewhat loyal,2
R_1LboN3qf6iZa2lY,608b545dac4ff506d7f01f04,KS,0,0 ,0 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Never,1,About once per week,5,Never,1,Never,1,More than once per week,6,Somewhat loyal,2
