response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_1HkvwZPNUr3Zn7Z,600673836848dc9fb0e79785,Several times per month,Running/walking,Biking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Several times per month,More than once per week,Depends upon the product/service
R_1Nbu6pMz5d878H3,6100b94f1750b9db274684c7,Once in a few months or longer,Not selected,Not selected,Not selected,Playing team sports,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Several times per month,About once per week,Highly loyal
R_1F2pjvXzS0r6K6M,612855e8ed6080b01a10ed54,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Somewhere to go before or after a meal at a local restaurant,Someplace to go while I drink my coffee,Not selected,Once in a few months or longer,About once per month,1 per year,Once in a few months or longer,More than once per week,Depends upon the product/service
R_32RNQqExhTabNSe,610ad9de7928e140edf063f8,Once in a few months or longer,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Once in a few months or longer,More than once per week,Somewhat loyal
R_8vw1OAzoXvn4qMV,60b83826821417f8e484a207,About once per week,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,Somewhere to go before or after a meal at a local restaurant,Someplace to go while I drink my coffee,Not selected,Once in a few months or longer,Once in a few months or longer,Never,About once per month,More than once per week,Somewhat loyal
R_ZsGSoxqET3TI2gp,58cefdb030c4cf0001ceb3ac,About once per month,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Once in a few months or longer,Never,Once in a few months or longer,About once per month,Somewhat loyal
R_Z8cZPkLVPnRDdrX,614fff0ee955434ed89cdd6a,Once in a few months or longer,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Someplace to go while I drink my coffee,Not selected,Never,Never,Never,More than once per week,About once per month,Depends upon the product/service
R_ZwaMxxLM3qqzqZX,5f1fc57dae86001f4dff12ee,Once in a few months or longer,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,About once per month,About once per month,Never,Never,More than once per week,Somewhat loyal
R_3pnDv5C40MfYd3N,5d8d5cc4c83a770013213a84,About once per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Once in a few months or longer,More than once per week,Depends upon the product/service
R_1o5sAXjWbVs4t9I,61535bd45997429e396cd1ac,About once per week,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,1 per year,Never,More than once per week,Depends upon the product/service
R_3O1dmRHWl6HB8BG,6024528e6a061e12eea449d3,About once per month,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Once in a few months or longer,Never,More than once per week,More than once per week,Depends upon the product/service
R_2TmyLhVIAC2Gel2,5db9a46ff8e3f9000f88cb85,Once in a few months or longer,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,More than once per week,Never,Several times per month,More than once per week,Somewhat loyal
R_d7obymfmu4ptYEF,61520cb33cbe8939af2a11a6,Once in a few months or longer,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,1 per year,Several times per month,More than once per week,Depends upon the product/service
R_2XnQwaQ1sc2Site,5f0144a4a28292298e381c49,Several times per month,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,About once per month,Never,Never,Once in a few months or longer,Depends upon the product/service
R_5jVV6NJiyhVRF29,61494b2ba9fdd44794e4c5d3,About once per week,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,About once per month,Never,Never,More than once per week,Somewhat loyal
R_2s1mgqAXFdMBjLl,570bc1ffb9b52b00102db939,About once per month,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Never,Never,Several times per month,More than once per week,Depends upon the product/service
R_VR90yR1SK0wwas1,60fe010f7d53d4e9cebf78a4,Once in a few months or longer,Running/walking,Biking,Not selected,Playing team sports,Spending time with family/pets,Not selected,Not selected,Someplace to go while I drink my coffee,Not selected,Never,About once per month,1 per year,About once per week,More than once per week,Somewhat loyal
R_1LO3sCp4qtE8HEm,615dd68523c38ecff40b29b4,About once per month,Running/walking,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Never,Never,Never,More than once per week,Highly loyal
